招聘岗位,企业名称,工作城市,工作区域,最低月薪_元,最高月薪_元,中位月薪_元,经验段,经验年限下限,经验年限上限,学历层级,AI标签列表,主要AI方向,岗位摘要,核心技能列表,招聘发布日期,发布月份
大数据管理与应用专业教师,大连东软信息学院,大连,nan,6000,12000,9000.0,无经验要求,,,硕士,大数据管理、数据挖掘,数据挖掘,大数据管理与应用专业教学及科研工作,数据挖掘、统计分析、学术研究、行业分析、沟通表达、团队合作,2024-07-30 ,2024-07
非标机械设计工程师,浙江环龙机器有限公司,湖州,德清县,8000,15000,11500.0,3-5年,3,,大专,机器人自动化,机器人自动化,负责自动化机械设计及设备优化,自动化机械设计、三维设计软件、电路设计、电机控制、项目管理,2024-05-24 ,2024-05
WEB测试工程师,上海引贤企业发展有限公司,深圳,宝安区,9000,13000,11000.0,5-10年,5,,本科,人工智能,人工智能,负责Web产品测试及缺陷管理,HTML/CSS/Java、Python、缺陷管理工具、软件测试理论、团队协作,2024-10-03 ,2024-10
资深咨询顾问,上海人工智能研究院有限公司,上海,闵行区,12000,20000,16000.0,3-5年,3,,硕士,人工智能,人工智能,人工智能产业研究与规划咨询,人工智能技术研究、产业规划咨询、数据分析、政策研究、解决方案设计、团队管理,2024-08-07 ,2024-08
驻地弱电运维工程师,上海继烨信息科技有限公司,上海,崇明区,5000,7000,6000.0,1-3年,1,2,大专,智能计算,智能计算,负责智能化系统驻地运维服务,智能化系统运维、弱电设备维护、文档编写、计算机操作、弱电智能化证书,2024-11-11 ,2024-11
新零售总监,江苏丰泰瀛科技发展有限公司,南京,秦淮区,30000,60000,45000.0,5-10年,5,,大专,数据挖掘,人工智能,负责新零售战略规划与团队领导，推动业务创新,数据分析、团队领导、市场洞察、沟通协调、数据挖掘,2024-07-24 ,2024-07
电销邀约专员（IB、OB）,广州鸿粤凯麒汽车销售服务有限公司,广州,天河区,8000,15000,11500.0,1-3年,1,3,大专,数据挖掘,数据挖掘,负责邀约客户到店看车，提高转化率,客户关系管理、数据库管理、数据挖掘、电话销售、销售知识、产品知识,2024-09-01 ,2024-09
高级UI设计师,追觅科技（苏州）有限公司,苏州,吴中区,20000,40000,30000.0,5-10年,5,,本科,人工智能,人工智能,负责APP端UI设计及优化，维护设计标准,APP端UI设计、设计工具（Sketch/Figma等）、跨平台设计、用户体验优化、团队协作,2024-07-24 ,2024-07
微信视频号运营,义乌市迈邦工艺品有限公司,金华,义乌市,15000,25000,20000.0,1-3年,1,3,不限,数据挖掘,人工智能,负责微信视频号运营及数据分析优化,视频剪辑、创意策划、数据分析、市场分析、流量运营、ROI优化、内容策划,2024-01-01 ,2024-01
XR计算机视觉算法工程师,歌尔股份有限公司,西安,雁塔区,8000,13000,10500.0,1-3年,1,,硕士,增强现实、虚拟现实、计算机视觉,计算机视觉,负责XR领域视觉算法研究与创新应用,C++/C#、Unity3D、UE4、计算机图像学算法、数据结构与算法、论文阅读与实现、团队协作与沟通,2024-07-08 ,2024-07
就业信息采集专员,金诺盛源教育科技（陕西）有限公司,西安,莲湖区,5000,8000,6500.0,3-5年,3,,中专及以下,人工智能,人工智能,负责企业招聘信息采集与维护,电话沟通、信息整理、办公软件操作、客户接待、招聘流程管理,2024-12-12 ,2024-12
用户运营专家,广发银行股份有限公司信用卡中心,广州,天河区,20000,35000,27500.0,5-10年,5,10,本科,数据挖掘,数据挖掘,负责用户生命周期管理及数据驱动运营,数据分析、用户行为分析、数据挖掘、用户运营、业务指标分析,2024-03-28 ,2024-03
硬件产品经理,福建乐摩物联科技有限公司,福州,闽侯县,8000,12000,10000.0,无经验要求,,,本科,数据挖掘,数据挖掘,负责产品全生命周期管理及市场策略制定,市场调研、数据分析、产品规划、协调统筹、竞品分析、策略制定,2024-07-17 ,2024-07
网络运维工程师,宜宾本信电子科技有限公司,宜宾,nan,6000,9000,7500.0,5-10年,5,,大专,云计算,云计算,负责工厂网络及系统运维，保障生产顺畅,网络架构、服务器维护、数据库管理、MES系统运维、ERP系统运维、Windows/Linux、云计算、网络安全,2024-07-02 ,2024-07
市场经营分析,中国电信股份有限公司西藏分公司,那曲,nan,8000,16000,12000.0,实习/应届,,,本科,人工智能、云计算,人工智能,负责数据处理、算法设计及数据分析支持,数据处理、算法设计、数据模型、经营分析、数据挖掘、统计分析,2024-08-27 ,2024-08
SAP-PP工程师,长春英利汽车工业股份有限公司,长春,朝阳区,10000,18000,14000.0,3-5年,3,5,本科,数据挖掘,数据挖掘,负责SAP系统数据挖掘与业务流程优化,SAP系统实施、业务流程优化、数据挖掘分析、系统运维、项目管理、文档编写,2024-03-28 ,2024-03
AI产品技术支持,江苏润和软件股份有限公司,杭州,nan,12000,18000,15000.0,1-3年,2,,本科,AI产品、人工智能、大数据处理、深度学习,人工智能,大模型平台技术支持与用户问题解决,Hadoop、Spark、TensorFlow、PyTorch、Linux、Python、Java、数据库,2024-12-05 ,2024-12
电气主管/经理,埃夫特智能装备股份有限公司,芜湖,鸠江区,15000,20000,17500.0,10年以上,10,,大专,机器人自动化,机器人自动化,负责机器人控制系统及电控柜开发与测试,IPD开发流程、机器人运动控制测试、电控柜开发调试、电气测试规范、文档编写、成本控制、质量意识,2024-07-05 ,2024-07
销售运营专员,上海希诺神州生命健康科技股份有限公司,上海,杨浦区,8000,12000,10000.0,3-5年,3,5,本科,大数据分析,大数据分析,数据分析与销售流程优化管理,数据分析、销售预测、流程优化、风险管理、PPT、Excel、Visio,2024-04-19 ,2024-04
linux应用开发工程师,广州日顺电子科技有限公司,广州,番禺区,10000,18000,14000.0,1-3年,1,3,大专,人机交互,人工智能,负责人机交互设计及通信协议开发,Qt开发、C/C++、QML、Linux多线程/多进程、HTTP/TCP/UDP、嵌入式Linux交叉编译、Linux系统命令,2024-03-27 ,2024-03
销售经理（电力行业）,南京特兰德普人才科技有限公司,南京,nan,15000,25000,20000.0,5-10年,5,,大专,人工智能,人工智能,负责电力行业市场开拓与客户维护,电力物联网通信、大数据分析、人工智能、项目投标、客户维护,2024-11-08 ,2024-11
技术研发工程师（人工智能方向）,南京特兰德普人才科技有限公司,南京,江宁区,20000,21000,20500.0,3-5年,3,,本科,人工智能、深度学习,人工智能,负责AI研发与算法优化，推动技术应用升级,Python、C++、PyTorch、MindSpore、算法模型设计、系统架构规划、深度学习,2024-11-13 ,2024-11
SLAM算法工程师,盎锐（杭州）信息科技有限公司,杭州,富阳区,15000,30000,22500.0,5-10年,5,10,本科,计算机视觉、特征识别,计算机视觉,负责3D算法设计与优化，解决SLAM技术难题,C/C++、Python、3D计算机视觉、SLAM、非线性优化、三维特征识别、Linux开发、LOAM算法,2024-04-18 ,2024-04
测试产品工程师,江苏尊阳电子科技有限公司,无锡,nan,7000,14000,10500.0,1-3年,1,3,本科,ai产品,人工智能,负责产线异常处理及测试数据分析,电子工程、通讯技术、计算机科学、模拟电路、数字电路、半导体知识、问题解决能力、团队合作,2024-12-12 ,2024-12
软件工程师,西诺医疗器械集团有限公司,咸阳,秦都区,12000,20000,16000.0,5-10年,5,7,本科,机器学习、人机交互、计算机视觉、深度学习,机器学习,医学软件开发与影像处理算法研究,医学软件开发、图像处理技术、机器学习算法、数据库管理、前端开发框架、项目管理工具、网络通信协议、UI/UE设计,2024-07-02 ,2024-07
销售,安徽莹网技术有限公司,兰州,nan,7000,14000,10500.0,3-5年,3,4,中专及以下,云计算,云计算,销售综合布线及云计算相关产品,综合布线、产品技术理解、客户资源管理、沟通表达能力、销售技巧,2024-07-02 ,2024-07
销售,安徽莹网技术有限公司,株洲,,7000,14000,10500.0,3-5年,3,4,中专及以下,云计算,云计算,销售综合布线及云计算相关产品,综合布线、产品技术理解、客户资源管理、沟通表达能力、销售经验,2024-07-08 ,2024-07
解决方案工程师,前锦网络信息技术（上海）有限公司,上海,nan,16666,20833,18749.5,3-5年,3,,本科,云计算,云计算,负责IDC及云计算售前解决方案制定,售前技术方案编写、客户沟通技巧、IDC及云计算行业知识、ToB业务模式、逻辑思维能力、团队管理能力,2024-12-10 ,2024-12
工业互联网高级工程师,前锦网络信息技术（上海）有限公司,济南,市中区,16666,25000,20833.0,3-5年,3,,本科,机器学习、人工智能、云计算,机器学习,工业互联网解决方案设计与实施,工业互联网、机器学习、云计算、大数据、5G、生产流程优化、自动化产线建设,2024-10-31 ,2024-10
海外品牌主营销,上海沐瞳科技有限公司,上海,闵行区,30000,50000,40000.0,5-10年,5,10,本科,数据挖掘,数据挖掘,负责市场数据分析与策略制定,数据建模、数据挖掘、信息收集、数据分析,2024-02-22 ,2024-02
采购/英语,深圳宝袋贸易有限公司,深圳,南山区,7000,12000,9500.0,3-5年,3,,大专,智能家居,智能家居,采购订单管理及供应商开发,英语听说读写、供应商管理、采购成本控制、谈判能力、办公软件,2024-08-02 ,2024-08
种植技术员,云南希康生物科技有限公司,曲靖,nan,4000,6000,5000.0,1-3年,1,,大专,无人驾驶,无人驾驶,负责中药材种植及无人机田间管理,无人机驾驶、实验数据统计分析、实验报告编写、生产数据统计、项目资料整理,2024-08-07 ,2024-08
机器视觉软件工程师,广州市易鸿智能装备股份有限公司,广州,番禺区,12000,18000,15000.0,无经验要求,,,大专,人机交互、模式识别,模式识别,研发视觉检测系统人机交互及功能模块,C#语言、WPF设计、图像处理、特征筛选、跨项目通用性设计、团队合作、沟通能力,2024-02-18 ,2024-02
专利工程师（应届生）,北京龙双利达知识产权代理有限公司,南京,雨花台区,10000,15000,12500.0,无经验要求,,,硕士,虚拟现实,虚拟现实,负责专利检索、撰写及审查工作,专利检索、专利撰写、法律服务、专利布局、科技沟通,2024-09-04 ,2024-09
销售工程师,联晟捷数字科技（福建）有限公司,福州,nan,8000,10000,9000.0,3-5年,3,,大专,智能传感器,智能传感器,负责福建市场金融、电力等行业销售推广,产品推广、项目销售、市场分析、客户沟通、谈判技巧、渠道管理,2024-07-05 ,2024-07
Java开发工程师,南京美仕优杰企业管理咨询有限公司,北京,西城区,25000,50000,37500.0,5-10年,5,10,本科,深度学习,深度学习,负责Java后端系统设计与性能优化,Java、Spring Boot、分布式系统、微服务、数据库、Docker、K8s、设计模式,2024-04-23 ,2024-04
中级机械工程师,浙江森创服装股份有限公司,嘉兴,南湖区,15000,20000,17500.0,3-5年,3,,本科,机器人自动化,机器人自动化,负责缝纫自动化及机器人集成方案设计,机械设计、Solidworks、CREO、AutoCAD、自动化标准件选型、传动机构设计、材料特性分析、机器人开发经验,2024-08-03 ,2024-08
ETL,北京先进数通信息技术股份公司,上海,浦东新区,8000,14000,11000.0,1-3年,1,,本科,数据挖掘,数据挖掘,负责ETL设计与数据整合，优化数据处理流程,DataStage、ETL工具、Oracle、MySQL、DB2、Linux命令、数据挖掘,2024-07-26 ,2024-07
数据分析师,富途网络科技（深圳）有限公司,深圳,南山区,15000,30000,22500.0,3-5年,3,5,本科,大数据分析、数据挖掘,大数据分析,设计数据指标体系，进行数据挖掘与分析,Python、数据建模、SQL、数据分析、Excel、数据挖掘,2024-03-28 ,2024-03
普工,华侨凤凰集团股份有限公司,德阳,绵竹市,3500,6500,5000.0,无经验要求,,,不限,自动驾驶,无人驾驶,操作机械设备及自动驾驶技术应用,叉车操作、设备维护、自动驾驶技术、废纸处理、财务登记,2024-08-29 ,2024-08
图像识别工程师,广州宜健邦科技有限公司,广州,黄埔区,18000,20000,19000.0,3-5年,3,,本科,图像识别、计算机视觉、特征提取、卷积神经网络,图像识别,负责图像识别算法研究与开发，实现自动化图像处理,C/C++、Python、卷积神经网络、特征提取、图像处理算法、英语阅读写作,2024-09-18 ,2024-09
算法工程师（大模型方向）,北京航空航天大学杭州创新研究院,杭州,滨江区,10000,20000,15000.0,1-3年,1,,本科,机器学习、人工智能、分布式计算、深度学习,深度学习,大模型算法研发与交通数据处理优化,Python、PyTorch、Transformer架构、交通数据处理、分布式计算、深度学习、机器学习,2024-09-06 ,2024-09
云端计算算法工程师,北京航空航天大学杭州创新研究院,杭州,滨江区,10000,20000,15000.0,无经验要求,,,硕士,机器学习、深度学习、知识图谱、云计算、自然语言处理,机器学习,开发车联网云端风险识别大模型及安全算法,TensorFlow、Pytorch、机器学习、深度学习、自然语言处理、知识图谱、大模型预训练、算法工程化,2024-09-06 ,2024-09
Java 后端开发工程师,宁波察微生物科技有限公司,宁波,慈溪市,8000,16000,12000.0,3-5年,3,5,本科,云计算,云计算,负责Java后端系统开发与维护，确保高可用性与安全性,Java、Spring Boot、Docker、Kubernetes、RESTful API、Git、Jenkins,2024-04-13 ,2024-04
CRM数据分析师,深圳市软通中科科技有限公司,深圳,福田区,6000,8000,7000.0,无经验要求,,,大专,数据挖掘,数据挖掘,分析CRM数据，提供策略支持，优化数据流程,数据分析、数据报表、数据挖掘、CRM系统、Excel、办公软件,2024-09-18 ,2024-09
深度学习算法工程师,山东爱特云翔信息技术有限公司,淄博,临淄区,12000,20000,16000.0,无经验要求,,,本科,深度学习、计算机视觉、模式识别、大数据平台、图像识别,深度学习,负责大数据平台建设与AI算法研发及部署,Python、深度学习、PyTorch、Tensorflow、计算机视觉、Linux,2024-05-09 ,2024-05
AIGC内容算法工程师,百度在线网络技术（北京）有限公司,北京,海淀区,30000,60000,45000.0,3-5年,3,5,本科,深度学习,深度学习,负责AIGC文本模型研发与优化,NLP/NLU、深度学习模型开发、分布式训练、Python、TensorFlow/PyTorch,2024-03-29 ,2024-03
市场经理,荆州三环盛通汽车有限责任公司,荆州,荆州区,6000,8000,7000.0,3-5年,3,,大专,机器学习,机器学习,负责市场推广及新媒体运营，提升品牌和销售,线上线下推广、新媒体运营、数据分析、竞品解析、跨部门协调、Office办公软件,2024-11-16 ,2024-11
图像算法工程师,杭州乔戈里科技有限公司,杭州,滨江区,15000,20000,17500.0,1-3年,1,3,本科,计算机视觉、人工智能、特征提取、深度学习,深度学习,负责图像处理与深度学习算法设计及研发,图像处理、深度学习、目标检测、语义分割、Halcon、OpenCV、特征提取、计算机视觉,2024-02-16 ,2024-02
政企线-汽车行业专家,中国联合网络通信有限公司吉林省分公司,长春,朝阳区,25000,33333,29166.5,5-10年,5,,本科,自动驾驶,自动驾驶,负责自动驾驶及车联网解决方案设计与客户拓展,需求调研、方案架构、售前宣讲、行业洞察、POC对接、项目管理,2024-07-19 ,2024-07
软件验证经理,奇瑞汽车股份有限公司,长沙,芙蓉区,15000,30000,22500.0,5-10年,5,10,本科,自动驾驶,自动驾驶,负责软件测试管理及团队协调，制定验证流程,C/C++、Python、CANOE、ISO-26262、ISO-11898、自动化测试、团队管理、功能安全,2024-01-26 ,2024-01
拙盾机械设计工程师,奇瑞汽车股份有限公司,芜湖,鸠江区,16666,33333,24999.5,3-5年,3,,本科,自动驾驶,自动驾驶,负责汽车机械设计及电子模块开发,Catia、UG、DFMEA、尺寸链公差、注塑工艺、冲压工艺、压铸工艺,2024-08-08 ,2024-08
知识图谱工程师,深圳市国显科技有限公司,深圳,龙岗区,10000,15000,12500.0,1-3年,1,3,本科,自然语言处理、知识图谱、数据挖掘、机器学习,知识图谱,负责知识图谱设计与构建及数据挖掘分析,自然语言处理、图数据库、Cypher、Python、数据挖掘、机器学习、数据仓库对接、模式关联分析,2024-04-18 ,2024-04
大模型算法工程师(代码生成方向),北京三快在线科技有限公司,上海,杨浦区,40000,60000,50000.0,1-3年,1,3,硕士,机器学习、自然语言处理、深度学习,自然语言处理,负责大模型代码生成及优化,Python、机器学习、自然语言处理、深度学习、代码生成、PyTorch、TensorFlow,2024-03-28 ,2024-03
智能服务产品运营主管,北京三快在线科技有限公司,北京,朝阳区,40000,45000,42500.0,5-10年,5,10,本科,智能客服,智能客服,智能客服系统运维与产品功能建设,智能客服系统运维、需求文档编写、跨部门协作、用户体验优化、团队管理,2024-03-27 ,2024-03
市场拓展经理,北京数联众创科技有限公司,北京,海淀区,15000,20000,17500.0,1-3年,1,3,本科,人工智能,人工智能,负责商务合作、售前方案及项目执行管理,商务谈判、项目管理、文案撰写、沟通协调、商务礼仪,2024-01-11 ,2024-01
资本市场部副总监,多弗国际控股集团有限公司,北京,朝阳区,25000,35000,30000.0,3-5年,3,,本科,人工智能,人工智能,资本运营与人工智能战略分析,资本运营、数据分析、项目执行、战略研究、跨部门协作,2024-09-04 ,2024-09
控制器研发总监,深圳市创荣发电子有限公司,深圳,龙华区,35000,50000,42500.0,5-10年,5,10,本科,智能家居,智能家居,负责研发战略规划与团队管理,研发管理、技术战略规划、团队建设、产品开发、质量监控、成本控制、技术攻关、项目管理,2024-10-24 ,2024-10
区域项目经理,上海行板环境科技有限公司,长沙,nan,7000,10000,8500.0,3-5年,3,,大专,智能家居,智能家居,负责区域项目开发、销售及客户管理,项目管理、客户关系维护、市场分析、销售策略、风险控制、商务谈判,2024-07-15 ,2024-07
数值策划,上海米哈游网络科技股份有限公司,上海,徐汇区,20000,40000,30000.0,3-5年,3,5,本科,数据挖掘,数据挖掘,负责游戏数值设计与平衡性调整，构建数学模型优化玩家体验,数值设计、数学建模、数据分析、数据可视化、脚本语言,2024-03-29 ,2024-03
研究员（大数据分析处理）,深圳市住房研究会,深圳,福田区,6000,11000,8500.0,无经验要求,,,本科,大数据分析、数据挖掘、大数据处理,大数据处理,从事大数据分析处理及政策研究工作,SQL、Hive、数据分析、数据挖掘、数据清洗、数据建模、大数据处理,2024-03-27 ,2024-03
深度学习算法工程师,南京瀚海伏羲防务科技有限公司,西安,雁塔区,13000,25000,19000.0,3-5年,3,5,硕士,自然语言处理、图像识别、强化学习、深度学习,深度学习,负责深度学习算法开发与落地,C++、Python、PyTorch/TensorFlow、图像识别、自然语言处理、强化学习,2024-04-24 ,2024-04
IT管理支撑,中国电信股份有限公司湖南分公司,张家界,nan,8000,16000,12000.0,实习/应届,,,本科,人工智能、云计算,人工智能,IT管理及综合支撑，数据分析与系统开发维护,IT管理、数据分析、系统开发、云计算、人工智能,2024-08-20 ,2024-08
golang后端开发工程师,广州奇思信息科技有限公司,广州,海珠区,8000,12000,10000.0,无经验要求,,,本科,人工智能,人工智能,负责多项目开发与系统维护，支持业务运营,Golang、Linux系统管理、MongoDB、MySQL、Docker、ElasticSearch、Kafka、Spark,2024-04-29 ,2024-04
销售经理/总监,深圳市乐乐米信息技术有限公司,深圳,南山区,20833,33333,27083.0,5-10年,5,,大专,人工智能,人工智能,负责销售团队管理及AI教育产品推广,销售策略制定、团队管理、商务谈判、市场洞察、客户关系维护、项目管理,2024-10-08 ,2024-10
云平台运维高级经理,上海智能算力科技有限公司,上海,徐汇区,30000,50000,40000.0,5-10年,5,10,本科,云计算,云计算,负责云平台运维管理，确保系统稳定高效运行,云计算、GPU资源管理、Linux系统、网络安全、系统监控、性能优化、团队领导,2024-03-19 ,2024-03
云计算工程师,贵州恒疆科技有限公司,贵阳,清镇市,8000,12000,10000.0,无经验要求,,,大专,云计算,云计算,云计算大数据相关岗位，0基础可学,云计算、大数据、Python,2024-04-23 ,2024-04
大数据架构师,润欣商业投资（深圳）有限公司,深圳,南山区,35000,60000,47500.0,10年以上,10,,本科,知识图谱、数据挖掘、大数据平台,大数据平台,负责大数据架构设计与数据治理工作,Java、Hadoop、数据模型设计、实时计算、数据治理、SpringCloud、数据挖掘,2024-03-28 ,2024-03
架构师,哈尔滨海识软件有限公司,哈尔滨,nan,10000,15000,12500.0,1-3年,1,4,中专及以下,云计算,云计算,负责公司技术架构设计与系统维护,云计算、大数据、Java、Python、MySQL、敏捷开发、DevOps,2024-11-15 ,2024-11
视频图像算法工程师,上海华讯网络系统有限公司,北京,,14000,22000,18000.0,1-3年,1,,硕士,计算机视觉、特征提取、深度学习,深度学习,负责视觉算法研发及产品落地,C/C++、Python、TensorFlow、Caffe、Pytorch、图像特征提取、目标检测、场景分割,2024-08-27 ,2024-08
嵌入式软件工程师,深圳智微电子科技股份有限公司,深圳,南山区,15000,30000,22500.0,无经验要求,,,本科,智能家居,智能家居,负责嵌入式软件开发及智能家居通信调试,C/C++编程、IAR/Keil开发工具、单片机/ARM架构、网络协议栈、HPLC载波协议、无线通信,2024-03-23 ,2024-03
图像算法工程师,合肥欣奕华智能机器有限公司,合肥,新站区,20000,40000,30000.0,5-10年,5,,硕士,机器学习、计算机视觉、模式识别、深度学习,深度学习,负责图像缺陷检测算法研究与优化,C/C++、Tensorflow、Pytorch、机器学习、图像处理、深度学习、数学建模,2024-11-27 ,2024-11
SOC架构师,中电科芯片技术（集团）有限公司,重庆,沙坪坝区,10000,20000,15000.0,3-5年,3,,本科,神经网络,神经网络,负责SOC芯片架构设计与性能优化,RTL设计、Verilog/Sverilog、AMBA总线架构、DRAM系统设计、神经网络硬件架构、C/C++编程,2024-09-24 ,2024-09
AI研发工程师,上海安托信息技术有限公司,北京,海淀区,14000,25000,19500.0,1-3年,1,3,本科,机器学习、人工智能、数据挖掘、深度学习,机器学习,负责AI算法研发、数据挖掘及模型优化工作,Python、机器学习、深度学习、TensorFlow、PyTorch、数据分析、算法优化,2024-04-19 ,2024-04
销售经理,微传智能科技（常州）有限公司,上海,浦东新区,10000,20000,15000.0,3-5年,3,,大专,智能家居,智能家居,负责销售计划制定与客户开拓，掌握市场动态,销售策略制定、市场调研、客户开拓、商务谈判、危机公关、电子电路基础,2024-11-19 ,2024-11
算法工程师,中煤科工集团北京华宇工程有限公司,北京,西城区,15000,25000,20000.0,无经验要求,,,硕士,机器学习、人工智能、强化学习,强化学习,负责强化学习算法研究与应用，框架设计及技术交流,强化学习、机器学习、C++、Python、PyTorch、TensorFlow、技术文档编写,2024-08-23 ,2024-08
解决方案工程师,广东泰一高新技术发展有限公司,扬州,高邮市,8000,15000,11500.0,3-5年,3,4,本科,人工智能,人工智能,负责无人机应用解决方案设计与客户对接,无人机应用解决方案设计、PowerPoint、Axure、Visio、Xmind、Photoshop、行业技术分析、项目招投标,2024-11-12 ,2024-11
资深软件测试工程师,苏州易泰勒电子科技有限公司,苏州,苏州工业园区,12000,18000,15000.0,5-10年,5,,本科,云计算,云计算,负责系统测试、自动化测试及测试工具开发维护,Linux系统、Jmeter测试工具、TCP/IP协议、云计算测试技术、Wireshark抓包工具、Python脚本、自动化测试开发,2024-11-29 ,2024-11
抖音运营主管,利郎（中国）有限公司,泉州,晋江市,10000,20000,15000.0,3-5年,3,,大专,数据挖掘,数据挖掘,负责抖音平台运营策略及内容优化,抖音运营、内容策划、数据分析、数据挖掘、用户增长、团队合作,2024-07-04 ,2024-07
组装生产组长,东莞华誉精密技术有限公司,东莞,塘厦镇,8000,10000,9000.0,5-10年,2,9,中专及以下,智能家居,人工智能,负责生产管理、异常处理及数据统计,生产管理、异常处理、数据统计、7S管理、人员分工、排产单管理,2024-12-14 ,2024-12
销售工程师,深圳市金流明光电技术有限公司,深圳,宝安区,10000,15000,12500.0,1-3年,1,,大专,智能家居,智能家居,负责智能照明销售及技术支持,智能照明系统、智能家居产品、智能传输通讯协议、市场调研分析、培训演讲能力,2024-09-29 ,2024-09
智慧交通岗位,青岛人才集团有限公司,青岛,市北区,25000,33000,29000.0,10年以上,10,,本科,人工智能,人工智能,智慧交通研究及AI技术应用,人工智能、大数据分析、系统开发、数据库建设、辅助决策模型,2024-02-06 ,2024-02
客服主管,易百信息技术（上海）股份有限公司,上海,浦东新区,10000,15000,12500.0,3-5年,3,5,本科,智能客服,智能客服,负责客服团队管理及智能客服优化,在线客服管理、智能客服项目经验、沟通协调、谈判技巧、团队管理、客户服务流程优化,2024-03-27 ,2024-03
货运司机,南昌捷驰供应链管理有限公司,南昌,nan,8000,13000,10500.0,无经验要求,,,中专及以下,自动驾驶,无人驾驶,配送蔬菜水果等货物，驾驶新能源货车,驾驶技术、装卸货、时间管理、C1驾驶证、物流配送、新能源车操作,2024-08-09 ,2024-08
算法工程师,长沙市望城区芮忆百货店（个体工商户）,广州,nan,18000,25000,21500.0,无经验要求,,,本科,自然语言处理、人工智能、机器学习、深度学习,人工智能,负责AI算法研究与开发，应用深度学习及NLP技术,自然语言处理、深度学习框架、机器学习算法、图像处理、推荐系统、数据结构、项目需求分析,2024-11-08 ,2024-11
资深SAP FICO顾问,先进半导体材料（安徽）有限公司,滁州,南谯区,25000,35000,30000.0,1-3年,1,3,本科,云计算,云计算,负责SAP系统设计、开发及权限管理,SAP系统设计、云计算（AWS/Azure）、权限配置管理、IT系统实施、跨部门协作、中英文双语能力,2024-02-03 ,2024-02
海外数据分析师,五八同城信息技术有限公司,北京,朝阳区,30000,60000,45000.0,3-5年,3,5,本科,机器学习、数据挖掘,机器学习,负责海外广告投放数据分析与优化,SQL、Python、数据建模、统计学、机器学习、广告归因模型,2024-03-27 ,2024-03
LLM算法模型工程师,深圳市斯凯荣科技有限公司,深圳,南山区,20000,40000,30000.0,3-5年,3,5,本科,大数据分析,大数据分析,负责数据分析与模型开发及优化工作,Spark、Python数据分析库、lightGBM、LLAMA2、ChatGPT、NLP处理、皮尔逊相关系数、数据模型优化,2024-01-11 ,2024-01
Python集成开发工程师,上海联泰科技股份有限公司,上海,松江区,10000,15000,12500.0,3-5年,3,5,本科,机器学习、大数据分析,机器学习,负责系统集成开发与数据管理，优化数据平台,Python、Fastapi、Django、JavaScript、Oracle、PostgreSQL、MongoDB、Redis,2024-03-19 ,2024-03
算法工程师,光大环境科技（中国）有限公司,南京,江宁区,9000,15000,12000.0,1-3年,1,,硕士,图像识别、人工智能、深度学习,深度学习,负责图像识别算法开发及团队建设,pytorch、深度学习、目标检测、Python、opencv、图像处理,2024-08-28 ,2024-08
大数据分析师,重庆启零教育信息咨询服务有限公司,重庆,江北区,8000,13000,10500.0,3-5年,3,,本科,机器学习、大数据分析、数据挖掘,机器学习,数据分析与机器学习模型开发,Python、机器学习、数据挖掘、SQL、数据可视化,2024-07-02 ,2024-07
彩妆产品经理,上海煊原实业有限公司,上海,浦东新区,15000,20000,17500.0,无经验要求,,,本科,数据挖掘,数据挖掘,负责彩妆产品策略制定与市场数据分析,数据分析、市场洞察、竞品分析、社媒广告投放、产品策略制定、文案与视频制作、成本控制,2024-03-25 ,2024-03
技术经理,昆明昊创电子有限公司,西安,nan,,,,无经验要求,,,不限,,人工智能,,,2024-11-09 ,2024-11
资深数据研发工程师,北京搜狐新媒体信息技术有限公司,北京,海淀区,30000,50000,40000.0,5-10年,5,10,本科,大数据平台,大数据平台,负责大数据平台建设与数据服务优化,数据仓库建模、Java、Spark、Flink、Hive、Spring Boot,2024-03-28 ,2024-03
软件工程师,杭州三花研究院有限公司,杭州,钱塘区,10000,20000,15000.0,3-5年,3,,本科,机器学习、人工智能、深度学习,人工智能,AI算法研究与开发，模型优化及产品集成,机器学习、深度学习、TensorFlow、PyTorch、流体仿真、换热器优化、数据处理、项目管理,2024-10-15 ,2024-10
数据分析师,武汉市启典科技有限公司,武汉,洪山区,10000,11000,10500.0,无经验要求,,,大专,大数据分析,大数据分析,负责数据整理分析及运营优化,Excel高级功能、SQL、数据分析、图表制作、商业意识、逻辑思维,2024-03-29 ,2024-03
海外运营,深圳市鑫精诚传感技术有限公司,深圳,龙岗区,10000,12000,11000.0,3-5年,3,,大专,数据挖掘,数据挖掘,海外社交媒体运营及数据分析优化,SEM运营、数据挖掘、Google Analytics、数据分析、独立站建站、英语能力,2024-10-26 ,2024-10
新媒体运营主管,清远中象投资有限公司,清远,清城区,10000,15000,12500.0,5-10年,5,10,本科,数据挖掘,人工智能,负责新媒体运营及内容策划推广,新媒体运营、文案策划、摄影摄像、数据分析、短视频运营,2024-04-24 ,2024-04
大模型应用开发工程师,佛山市淇特科技有限公司,佛山,南海区,25000,50000,37500.0,无经验要求,,,硕士,机器学习、人工智能、智能家居、深度学习,人工智能,负责大模型研发及多模态应用落地,深度学习、PyTorch、Tensorflow、Megatron、DeepSpeed、GPU优化、Python、C/C++,2024-04-12 ,2024-04
